"Ride_name","Park_location","Park_area"
"1","Remy's Ratatouille Adventure","Epcot","World Showcase"
"2","Gran Fiesta Tour Starring The Three Caballeros","Epcot","World Showcase"
"3","Frozen Ever After","Epcot","World Showcase"
"4","Toy Story Mania","Hollywood Studios","Toy Story Land"
"5","Slinky Dog Dash","Hollywood Studios","Toy Story Land"
"6","Alien Swirling Saucers","Hollywood Studios","Toy Story Land"
"7","Walt Disneys Carousel of Progress","Magic Kingdom","Tomorrowland"
"8","TRON Lightcycle  Run","Magic Kingdom","Tomorrowland"
"9","Tomorrowland Transit Authority PeopleMover","Magic Kingdom","Tomorrowland"
"10","Tomorrowland Speedway","Magic Kingdom","Tomorrowland"
"11","Space Mountain","Magic Kingdom","Tomorrowland"
"12","Buzz Lightyears Space Ranger Spin","Magic Kingdom","Tomorrowland"
"13","Astro Orbiter","Magic Kingdom","Tomorrowland"
"14","The Twilight Zone Tower of Terror","Hollywood Studios","Sunset Boulevard"
"15","Rock 'n' Roller Coaster","Hollywood Studios","Sunset Boulevard"
"16","Na'vi River Journey","Animal Kingdom","Pandora"
"17","Avatar Flight of Passage","Animal Kingdom","Pandora"
"18","Walt Disney World Railroad","Magic Kingdom","Main Street USA"
"19","Haunted Mansion","Magic Kingdom","Liberty Square"
"20","Smugglers Run","Hollywood Studios","Galaxys Edge"
"21","Rise of The Resistance","Hollywood Studios","Galaxys Edge"
"22","The Seas with Nemo & Friends","Epcot","World Nature"
"23","Test Track","Epcot","World Discovery"
"24","Spaceship Earth","Epcot","World Celebration"
"25","Soarin' Around the World","Epcot","World Nature"
"26","Mission: SPACE","Epcot","World Discovery"
"27","Living with the Land","Epcot","World Nature"
"28","Journey Into Imagination With Figment","Epcot","World Nature"
"29","Guardians of the Galaxy: Cosmic Rewind","Epcot","World Discovery"
"30","Tianas Bayou Adventure","Magic Kingdom","Frontierland"
"31","Big Thunder Mountain Railroad","Magic Kingdom","Frontierland"
"32","Under the Sea  Journey of The Little Mermaid","Magic Kingdom","Fantasyland"
"33","The Many Adventures of Winnie the Pooh","Magic Kingdom","Fantasyland"
"34","The Barnstormer","Magic Kingdom","Fantasyland"
"35","Seven Dwarfs Mine Train","Magic Kingdom","Fantasyland"
"36","Prince Charming Regal Carrousel","Magic Kingdom","Fantasyland"
"37","Peter Pans Flight","Magic Kingdom","Fantasyland"
"38","Mad Tea Party","Magic Kingdom","Fantasyland"
"39","its a small world","Magic Kingdom","Fantasyland"
"40","Dumbo the Flying Elephant","Magic Kingdom","Fantasyland"
"41","Star Tours","Hollywood Studios","Echo Lake"
"42","Dinosaur","Animal Kingdom","Dinoland USA"
"43","Mickey & Minnies Runaway Railway","Hollywood Studios","Chinese Theater"
"44","Kali River Rapids","Animal Kingdom","Asia"
"45","Expedition Everest","Animal Kingdom","Asia"
"46","Kilimanjaro Safaris","Animal Kingdom","Africa"
"47","The Magic Carpets of Aladdin","Magic Kingdom","Adventureland"
"48","Pirates of the Caribbean","Magic Kingdom","Adventureland"
"49","Jungle Cruise","Magic Kingdom","Adventureland"
